Product Title,Product Sub Title,Manufacturer Name,Manufacturer Code,Item Code,Category A,Category B,Category C,Image A,Image A (500 x 500),Stock Quantity,Price
StarTech.com 2S1P PCI Serial Parallel Combo Card with 16550 UART,StarTech.com 2S1P PCI Serial Parallel Combo Card with 16550 UART - IEEE 1284 Card - Serial Parallel PCI - PCI Serial Adapter,Startech,PCI2S1P,STH-PCI2S1P,Components,IO Devices,Serial,http://www.e-cdn.co.uk/original-images/283303.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/283303.jpg,0,22.78
StarTech.com 2 Port RS232/422/485 PCI Serial Adapter Card w/ ESD Protection,StarTech.com 2 Port RS232/422/485 PCI Serial Adapter Card w/ ESD Protection,Startech,PCI2S232485I,STH-PCI2S232485I,Components,IO Devices,Serial,http://www.e-cdn.co.uk/original-images/285998.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/285998.jpg,22,88.81
StarTech.com 2S2P PCI Serial Parallel Combo Card with 16C1050 UART,StarTech.com 2S2P PCI Serial Parallel Combo Card with 16C1050 UART - Mini PCIe Serial Parallel Card - 2 Port Serial Adapter,Startech,PCI2S2PMC,STH-PCI2S2PMC,Components,IO Devices,Serial,http://www.e-cdn.co.uk/original-images/281521.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/281521.jpg,0,18.23
StarTech.com 2 Port PCI RS232 Serial Adapter Card with 16550 UART,StarTech.com StarTech.com Serial adapter card - PCI - serial - 2 ports,Startech,PCI2S550,STH-PCI2S550,Components,IO Devices,Serial,http://www.e-cdn.co.uk/original-images/284213.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/284213.jpg,38,16.89
StarTech.com PCI Wireless N Adapter - 300 Mbps PCI 802.11 b/g/n Network Adapter Card � 2T2R 2.2 dBi,StarTech.com PCI Wireless N Adapter - 300 Mbps PCI 802.11 b/g/n Network Adapter Card � 2T2R 2.2 dBi - Desktop Card - PCI WiFi Card,Startech,PCI300WN2X2,STH-PCI300WN2X2,Networking & Communications,Networking,Interface Cards,http://www.e-cdn.co.uk/original-images/280694.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/280694.jpg,19,16.89
StarTech.com 5 Port PCI High Speed USB 2.0 Adapter Card,5 Port PCI High Speed USB 2.0 Adapter Card,Startech,PCI420USB,STH-PCI420USB,Components,IO Devices,USB,http://www.e-cdn.co.uk/original-images/286024.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/286024.jpg,12,8.34
StarTech.com 4 Port PCI RS232 Serial Adapter Card with 16550 UART,4 Port PCI RS232 Serial Adapter Card with 16550 UART,Startech,PCI4S550N,STH-PCI4S550N,Components,IO Devices,Serial,http://www.e-cdn.co.uk/original-images/281558.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/281558.jpg,7,29.62
StarTech.com 4 Port RS232 PCI Serial Card Adapter with Power Output,StarTech.com 4 Port RS232 PCI Serial Card Adapter with Power Output - PCI Serial Card - rs232 Card - quad Port Serial Card,Startech,PCI4S954PW,STH-PCI4S954PW,Components,IO Devices,Serial,http://www.e-cdn.co.uk/original-images/284241.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/284241.jpg,0,59.56
StarTech.com 8in 6 pin PCI Express Power Extension Cable,StarTech.com 8in 6 pin PCI Express Power Extension Cable,Startech,PCIEPOWEXT,STH-PCIEPOWEXT,Cables,PC,Power,,,20,1.78
StarTech.com 1 Port eSATA + 1 Port SATA PCI SATA Controller Card w/ LP Bracket,StarTech.com 1 Port eSATA + 1 Port SATA PCI SATA Controller Card w/ LP BRacket - eSATA Controller - SATA II Controller,Startech,PCIESATA2I,STH-PCIESATA2I,Components,IO Devices,Storage Controllers,http://www.e-cdn.co.uk/original-images/280723.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/280723.jpg,0,14.76
StarTech.com PCI Express 6 pin to 8 pin Power Adapter Cable,StarTech.com PCI Express 6 pin to 8 pin Power Adapter Cable,Startech,PCIEX68ADAP,STH-PCIEX68ADAP,Cables,PC,Power,http://www.e-cdn.co.uk/original-images/283361.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/283361.jpg,17,3.51
StarTech.com 6in PCI Express Power Splitter Cable,StarTech.com 6in PCI Express Power Splitter Cable,Startech,PCIEXSPLIT6,STH-PCIEXSPLIT6,Cables,PC,Power,http://www.e-cdn.co.uk/original-images/286052.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/286052.jpg,4,4.99
StarTech.com 2 Port PCI IDE Controller Adapter Card,StarTech.com 2 Port PCI IDE Controller Adapter Card,Startech,PCIIDE2,STH-PCIIDE2,Components,IO Devices,Storage Controllers,http://www.e-cdn.co.uk/original-images/281583.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/281583.jpg,2,19.83
StarTech.com 4 Port PCI SATA RAID Controller Adapter Card,StarTech.com 4 Port PCI SATA RAID Controller Adapter Card - PCI SATA RAID Card with Low Profile / Half-Height Bracket,Startech,PCISATA4R1,STH-PCISATA4R1,Components,IO Devices,Storage Controllers,http://www.e-cdn.co.uk/original-images/284265.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/284265.jpg,0,26.77
StarTech.com 5.1 Channel PCI Surround Sound Card Adapter,StarTech.com 5.1 Channel PCI Surround Sound Card Adapter - PCI Sound Card - 5.1 Sound Card - Audio Card - Computer Sound Card,Startech,PCISOUND5CH2,STH-PCISOUND5CH2,Components,Sound Cards,,http://www.e-cdn.co.uk/original-images/282476.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/282476.jpg,150,10.57
StarTech.com 2 Port PCI SuperSpeed USB 3.0 Adapter Card with SATA Power,StarTech.com 2 Port PCI SuperSpeed USB 3.0 Adapter Card with SATA Power - Dual Port PCI USB 3 Controller Card,Startech,PCIUSB3S22,STH-PCIUSB3S22,Components,IO Devices,USB,http://www.e-cdn.co.uk/original-images/301716.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/301716.jpg,29,32.42
StarTech.com 4 Port PCI SuperSpeed USB 3.0 Adapter Card with SATA / SP4 Power,StarTech.com 4 Port PCI SuperSpeed USB 3.0 Adapter Card with SATA/SP4 Power - Quad Port PCI USB 3 Controller Card,Startech,PCIUSB3S4,STH-PCIUSB3S4,Components,IO Devices,USB,http://www.e-cdn.co.uk/original-images/285175.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/285175.jpg,7,42.16
StarTech.com 7 Port PCI USB Card Adapter,StarTech.com 7 Port PCI USB Card Adapter - PCI to USB 2.0 Controller Adapter,Startech,PCIUSB7,STH-PCIUSB7,Components,IO Devices,USB,http://www.e-cdn.co.uk/original-images/280743.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/280743.jpg,3,9.65
StarTech.com XGI Volari Z7 16 MB PCI VGA Video Adapter Card,StarTech.com XGI Volari Z7 16 MB PCI VGA Video Adapter Card,Startech,PCIVGAV7,STH-PCIVGAV7,Cables,Audio/Video,Adapters,http://www.e-cdn.co.uk/original-images/283387.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/283387.jpg,0,33.48
StarTech.com PCI-X to x4 PCI Express Adapter Card,StarTech.com PCI-X to x4 PCI Express Adapter Card,Startech,PCIX1PEX4,STH-PCIX1PEX4,Components,IO Devices,PCI Express,http://www.e-cdn.co.uk/original-images/286073.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/286073.jpg,0,86.22
StarTech.com Deluxe Assortment PC Screw Kit - Screw Nuts and Standoffs,StarTech.com Deluxe Assortment PC Screw Kit - Screw Nuts and Standoffs,Startech,PCSCREWKIT,STH-PCSCREWKIT,Components,Repair Parts & Tools,,http://www.e-cdn.co.uk/original-images/281616.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/281616.jpg,4,16.26
StarTech.com PCI Express 10 Gigabit Ethernet Fiber Network Card w/ Open SFP+ - PCIe x4 10Gb NIC SFP+ Adapter,StarTech.com PCI Express 10 Gigabit Ethernet Fiber Network Card w/ Open SFP+ - PCIe x4 10Gb NIC SFP+ Card - 10GbE Fiber Ethernet Adapter,Startech,PEX10000SFP,STH-PEX10000SFP,Networking & Communications,Networking,Interface Cards,http://www.e-cdn.co.uk/original-images/284294.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/284294.jpg,10,141.14
StarTech.com 1000 Mbps Gigabit Ethernet MM SC Fiber PCI Express Card,1000 Mbps Gigabit Ethernet Multi Mode SC Fiber PCI Express Card - 550m,Startech,PEX1000MMSC,STH-PEX1000MMSC,Networking & Communications,Networking,Interface Cards,http://www.e-cdn.co.uk/original-images/286984.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/286984.jpg,0,81.99
StarTech.com PCI Express (PCIe) Gigabit Ethernet Multimode SC Fiber Network Card Adapter NIC - 550m,StarTech.com PCI Express (PCIe) Gigabit Ethernet Multimode SC Fiber Network Card Adapter NIC - 550m - PCIe GbE Fiber Optic Network Card,Startech,PEX1000MMSC2,STH-PEX1000MMSC2,Networking & Communications,Networking,Interface Cards,http://www.e-cdn.co.uk/original-images/282506.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/282506.jpg,0,104.62
StarTech.com PCI Express Gigabit Ethernet Fiber Network Card w/ Open SFP - PCIe SFP Network Card Adapter NIC,StarTech.com PCI Express Gigabit Ethernet Fiber Network Card w/ Open SFP - PCIe GbE SFP Network Card Adapter NIC - Fiber Optic SFP Adapter,Startech,PEX1000SFP2,STH-PEX1000SFP2,Networking & Communications,Networking,Interface Cards,http://www.e-cdn.co.uk/original-images/285212.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/285212.jpg,18,104.62
StarTech.com 1 Port PCI Express 10/100 Ethernet Network Interface Adapter Card,1 Port PCI Express 10/100 Ethernet Network Interface Adapter Card,Startech,PEX100S,STH-PEX100S,Networking & Communications,Networking,Interface Cards,http://www.e-cdn.co.uk/original-images/280774.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/280774.jpg,18,11.36
StarTech.com PCI Express 10/100 Mbps Ethernet Fiber SFP PCIe Network Card Adapter NIC,StarTech.com PCI Express 10/100 Mbps Ethernet Fiber SFP Network Adapter NIC - PCIe 10/100 SFP Fiber Optic Network Card - Server Adapter,Startech,PEX100SFP,STH-PEX100SFP,Networking & Communications,Networking,Interface Cards,http://www.e-cdn.co.uk/original-images/283415.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/283415.jpg,3,41.84
